"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","1995","1995","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,115631.707,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","1996","1996","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,112543.942,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","1997","1997","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,107421.923,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","1998","1998","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,101789.293,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","1999","1999","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,100615.604,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2000","2000","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,96046.394,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2001","2001","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,91917.763,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2002","2002","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,87213.256,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2003","2003","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,83233.98,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2004","2004","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,76468.878,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2005","2005","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,72573.593,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2006","2006","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,68158.909,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2007","2007","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,65669.941,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2008","2008","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,64295.758,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2009","2009","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,61476.933,,
"DEU","Germany","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2010","2010","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,60100.112,,
